__ 30 17 02 __ 25 13 32 
11 04 26 06 __ 03 24 08 
30 01 27 35 32 31 09 10 

05 31 __ 11 29 08 20 23 
__ 24 07 19 02 32 18 04 
01 15 34 __ 21 12 14 00 
17 13 __ 22 16 27 09 35 
28 06 33 10 25 03 26 30 

09 15 __ 04 __ 16 __ 35 
24 03 26 29 25 05 31 01 
08 07 11 19 22 17 __ 34 
06 18 20 02 21 28 14 30 
27 12 13 00 32 33 10 23 

04 25 26 __ 29 __ 17 08 
19 05 27 10 00 09 30 23 
21 33 12 18 06 34 __ 11 
20 02 22 35 01 07 32 28 
13 __ 31 24 15 03 14 16 

07 18 05 22 11 15 08 09 
04 35 03 __ 20 24 33 19 
__ 34 10 00 __ 25 13 32 
01 14 21 17 06 12 02 26 
30 31 23 28 16 27 __ 29 

14 15 02 19 22 01 33 04 
09 11 __ 29 31 08 27 03 
__ 16 34 21 07 23 12 24 
18 17 20 10 00 35 30 25 
28 06 13 05 32 __ __ 26 

05 28 23 07 00 18 13 30 
26 16 31 __ 17 22 __ 20 
04 19 14 24 11 06 25 33 
12 03 35 02 21 08 __ 09 
29 10 __ 15 01 32 27 34 

20 00 19 10 34 07 09 01 
12 32 06 08 24 27 31 13 
29 02 14 22 __ 25 __ 17 
23 26 __ 04 __ 33 21 03 
11 18 15 28 30 35 05 16 

01 09 20 29 02 32 __ 28 
22 26 31 24 __ __ 33 19 
30 21 23 00 15 05 34 04 
18 13 35 25 03 06 11 08 
12 14 27 16 10 07 __ 17 

31 17 07 13 28 14 35 04 
29 03 15 18 23 12 05 25 
01 02 09 16 11 08 10 22 
20 26 34 27 __ 33 30 32 
__ 21 24 __ 06 00 19 __ 

01 00 20 09 11 22 04 08 
__ 30 31 19 03 21 25 __ 
14 06 26 34 35 23 16 05 
02 13 32 33 18 29 27 24 
12 __ 07 10 15 28 17 __ 

22 __ 35 32 11 __ 05 __ 
21 20 31 28 10 02 13 07 
34 19 16 24 30 14 __ 26 
08 00 09 03 18 17 06 23 
25 33 27 01 29 04 15 12 

02 29 15 06 18 24 00 05 
__ 07 19 25 34 32 __ 09 
__ 23 33 11 08 31 26 04 
27 __ 01 20 17 13 28 22 
14 12 21 30 35 16 03 10 

30 __ 19 __ 09 00 __ 08 
14 22 35 01 23 03 __ 04 
05 15 24 13 34 02 25 31 
27 33 20 28 16 26 17 12 
06 21 18 32 07 11 29 10 

14 06 11 15 20 28 08 03 
01 30 __ 16 35 34 09 13 
07 __ 05 29 25 18 10 __ 
26 17 02 22 19 __ 27 32 
23 04 33 12 24 31 21 00 

01 27 19 03 33 30 29 00 
08 04 24 32 16 26 31 13 
23 06 20 __ 28 __ 07 25 
17 11 __ 21 15 05 14 __ 
35 02 12 22 34 10 09 18 

03 06 32 25 01 05 29 07 
__ 16 __ 14 00 26 19 17 
12 __ 21 23 11 34 08 31 
33 __ 10 28 20 27 30 18 
35 09 22 02 13 15 04 24 

29 32 08 30 16 __ 17 28 
27 13 12 22 24 07 01 18 
26 09 33 10 02 05 __ 35 
00 15 21 __ __ 04 03 11 
06 34 23 25 20 31 14 19 

04 00 16 29 __ 01 __ 31 
27 22 21 09 08 32 18 05 
24 13 19 23 28 02 12 26 
35 25 03 34 17 __ 15 33 
11 07 20 10 06 30 __ 14 

01 02 12 24 35 __ 22 20 
__ 06 __ 25 30 23 34 08 
11 13 19 17 18 14 32 27 
31 21 03 16 10 26 33 29 
09 __ 15 04 28 05 07 00 

__ __ 26 05 23 01 __ 07 
04 03 29 19 15 35 17 __ 
08 02 34 22 24 14 32 25 
11 06 20 28 21 18 12 27 
30 10 09 31 00 16 13 33 

11 27 01 08 12 19 13 04 
05 20 __ 28 __ 25 22 32 
29 10 __ 23 15 07 02 17 
24 16 33 30 21 06 14 31 
35 00 18 26 34 03 09 __ 

10 __ 01 33 05 08 27 __ 
20 34 13 30 __ 16 29 14 
07 04 __ 28 18 21 09 17 
32 15 31 35 25 19 24 06 
12 26 00 02 03 23 22 11 

12 27 15 30 23 07 20 01 
34 05 __ 18 11 33 00 32 
25 29 35 17 26 14 28 16 
02 24 21 09 31 10 03 04 
__ 22 08 __ 13 19 __ 06 

04 18 22 11 15 06 34 16 
17 26 13 09 00 20 05 21 
30 __ 07 33 03 02 __ 25 
24 __ 28 10 __ 31 27 01 
23 12 29 14 35 19 08 32 

20 01 11 31 16 25 __ 28 
17 13 04 18 26 06 14 35 
03 09 29 21 24 33 32 27 
34 23 __ 15 30 02 05 __ 
08 07 22 __ 19 12 00 10 

26 35 33 29 24 12 11 __ 
15 02 06 00 07 23 25 14 
21 22 32 19 16 __ 30 09 
20 34 04 18 28 __ 08 05 
03 13 01 27 17 __ 10 31 

19 26 04 18 24 15 10 13 
27 02 03 05 29 01 __ __ 
06 32 30 25 31 14 33 28 
17 22 20 23 21 __ 35 08 
16 __ 34 12 07 11 00 09 

__ 12 __ 30 34 32 08 35 
25 00 __ 23 09 31 15 03 
33 01 02 19 21 17 04 16 
14 26 18 10 28 07 29 27 
05 06 24 13 11 __ 22 20 

11 __ 31 32 20 15 09 16 
08 29 02 __ 14 12 18 03 
17 30 26 10 05 __ 27 07 
04 __ 00 25 22 24 21 33 
28 23 19 34 06 13 35 01 

31 20 05 06 15 00 __ 18 
17 03 __ 19 24 04 26 02 
07 16 01 09 21 29 13 10 
14 33 23 08 12 __ 34 __ 
28 32 30 27 22 25 35 11 

10 30 25 22 29 __ 00 __ 
06 31 20 09 23 21 26 13 
01 33 32 16 14 03 35 34 
__ 02 15 11 18 24 08 17 
04 12 19 __ 28 07 05 27 

16 27 06 18 12 05 20 35 
__ 02 30 09 33 10 31 13 
23 22 21 __ 15 01 17 28 
19 25 08 07 34 03 __ 11 
29 24 04 32 26 __ 14 00 

08 20 __ 33 11 14 __ __ 
28 16 05 19 __ 23 01 15 
17 04 24 31 34 22 03 26 
27 07 35 13 02 30 18 00 
12 29 21 25 06 10 09 32 

20 __ 22 11 01 28 04 35 
07 10 18 27 05 26 __ 23 
__ 03 08 33 02 30 32 __ 
17 15 31 29 21 19 13 16 
09 12 25 24 14 34 06 00 

31 02 __ 26 18 34 06 __ 
14 12 28 __ 04 13 35 10 
20 17 08 19 24 22 25 27 
__ 16 15 21 29 30 05 00 
11 01 23 09 07 03 33 32 

__ 04 09 33 34 03 13 35 
27 18 17 __ 20 15 10 26 
01 16 02 14 31 21 32 08 
05 __ 23 25 30 07 22 29 
12 06 24 19 28 __ 00 11 

12 30 22 04 21 06 25 29 
01 32 02 26 19 14 09 00 
18 __ 31 __ 24 34 15 08 
13 __ 11 27 17 28 03 __ 
23 20 05 33 07 16 35 10 

04 01 26 34 __ 20 29 31 
19 21 22 32 24 __ 25 14 
12 35 09 23 28 03 07 16 
02 13 __ 06 30 15 33 27 
18 11 10 __ 00 08 05 17 

32 26 35 08 11 20 05 06 
12 02 __ 13 19 28 29 14 
30 __ 21 34 33 25 17 07 
__ 04 00 22 24 15 27 03 
23 18 10 09 31 __ 01 16 

32 13 __ 05 20 11 08 09 
12 17 33 15 18 31 29 14 
30 02 22 21 25 19 __ 06 
10 26 00 35 28 24 27 16 
23 __ 03 01 34 04 __ 07 

__ 12 30 02 22 01 28 32 
18 03 07 00 29 13 06 08 
31 17 15 23 05 04 26 33 
09 11 35 27 25 24 __ 10 
__ 14 16 21 19 34 20 __ 

07 01 00 16 29 __ __ 09 
__ 19 23 08 20 31 22 27 
14 21 03 25 15 32 24 17 
__ 06 28 12 11 30 05 10 
35 34 18 02 26 04 13 33 

16 28 04 34 01 02 08 __ 
05 27 20 19 07 12 29 23 
__ 09 25 21 17 32 22 __ 
03 35 15 31 __ 30 33 00 
14 06 11 24 18 13 26 10 

33 __ 19 06 20 27 08 07 
12 10 18 21 02 13 26 01 
09 32 28 22 24 16 __ 00 
03 23 __ 25 30 11 04 29 
15 14 34 31 35 05 17 __ 

22 12 __ 19 21 15 16 35 
26 02 __ 03 01 14 10 17 
30 04 __ 24 33 31 28 20 
18 23 06 07 09 27 11 34 
13 32 00 05 __ 25 29 08 

12 02 20 19 28 09 11 35 
18 10 05 21 15 34 __ __ 
00 22 27 24 25 04 31 33 
26 13 16 23 06 __ 14 03 
32 01 07 30 __ 17 29 08 

12 02 19 35 28 34 06 __ 
18 05 27 21 __ 04 25 __ 
13 32 22 24 20 15 09 33 
16 26 30 31 17 03 29 07 
00 10 23 14 __ 11 08 01 

10 02 19 35 06 __ 25 33 
05 18 12 21 20 01 15 34 
32 27 22 24 28 11 09 __ 
00 26 30 31 17 03 29 07 
13 16 23 14 __ 04 08 __ 

23 18 05 35 06 __ 25 09 
30 12 02 21 19 33 15 03 
32 27 __ 24 28 11 34 20 
10 26 22 31 17 07 29 __ 
13 16 00 04 14 08 __ 01 

23 05 18 35 34 __ 25 06 
30 00 22 21 19 11 15 09 
16 27 02 24 04 28 03 01 
32 26 12 31 10 __ 29 07 
__ 13 14 __ 17 33 08 20 

32 30 18 35 __ 06 25 20 
05 16 22 21 11 01 34 33 
04 27 02 24 28 19 15 03 
00 26 12 31 __ 10 29 09 
13 23 14 __ __ 17 07 08 

__ 30 22 32 35 08 03 15 
23 16 19 21 06 25 34 20 
18 27 02 24 28 11 04 01 
05 26 12 31 33 29 10 __ 
00 13 14 __ 17 09 07 __ 

32 30 22 33 21 15 03 35 
23 20 28 19 10 25 04 __ 
05 27 18 24 11 07 34 01 
13 26 02 31 14 29 09 __ 
00 16 12 __ 17 06 08 __ 

32 23 11 35 21 06 25 09 
20 30 28 19 04 33 10 __ 
05 27 12 24 22 34 15 __ 
13 26 02 07 18 29 03 __ 
00 16 14 31 17 01 08 __ 

23 11 20 18 04 33 35 07 
32 30 28 19 21 08 29 __ 
05 27 02 24 22 25 15 09 
16 10 26 14 31 01 __ __ 
13 00 12 34 17 __ 06 03 

__ 11 04 __ 34 20 08 10 
32 30 28 19 21 25 29 06 
16 27 22 24 33 35 __ 09 
23 05 26 31 13 17 07 15 
__ 00 01 14 02 18 12 03 

__ __ 11 20 35 10 07 06 
30 01 28 19 33 25 29 08 
32 27 22 24 21 34 15 09 
23 16 26 31 02 17 03 04 
05 00 13 14 18 12 __ __ 

00 __ 35 20 06 34 04 08 
__ 05 33 28 19 11 03 09 
16 27 22 24 21 25 15 18 
30 32 26 31 02 17 29 __ 
01 23 13 14 12 10 07 __ 

01 __ 11 12 34 20 07 08 
23 04 05 33 19 28 __ 29 
30 27 22 24 21 25 06 __ 
16 13 26 31 02 15 03 10 
32 14 00 17 __ 35 09 18 

01 __ 20 10 28 11 06 __ 
23 04 __ 33 19 34 29 08 
16 27 22 24 21 35 25 07 
30 05 26 31 02 18 03 15 
32 00 13 14 17 12 __ 09 

10 05 33 11 28 20 06 __ 
__ 27 __ 04 19 34 29 07 
01 16 22 24 21 35 25 08 
30 23 26 31 18 02 03 15 
32 00 13 17 14 12 __ 09 

01 10 33 20 28 11 08 06 
05 __ __ 04 19 34 29 07 
27 16 22 24 21 02 25 09 
30 32 26 31 14 12 __ 15 
23 00 13 17 35 18 __ 03 

__ 10 01 11 28 20 08 06 
05 33 04 35 19 34 29 07 
16 27 22 24 21 02 25 09 
30 23 26 31 14 12 __ 15 
32 00 13 17 __ 18 __ 03 

__ __ 10 11 28 20 08 07 
04 05 33 35 19 34 29 06 
16 27 22 24 21 12 25 03 
23 00 26 31 14 02 15 __ 
32 30 13 17 01 18 __ 09 

__ __ 10 20 28 11 07 __ 
05 33 04 17 19 34 29 08 
16 27 22 24 21 18 25 03 
23 00 26 31 35 02 15 06 
32 30 13 14 01 12 __ 09 

__ 10 __ 20 28 11 08 __ 
33 05 04 34 19 35 29 07 
16 27 22 24 21 18 25 06 
13 30 26 31 01 02 15 03 
23 32 00 14 17 12 __ 09 

__ 01 33 20 28 11 07 __ 
__ 05 04 10 19 35 29 08 
16 27 22 24 21 34 25 06 
00 30 26 31 14 02 15 03 
23 32 13 17 12 18 __ 09 

__ 01 33 20 28 11 08 __ 
__ 05 04 10 19 35 29 07 
16 27 22 24 21 34 25 06 
00 30 26 31 17 02 15 12 
32 23 13 14 __ 18 09 03 

__ 01 33 20 28 11 07 __ 
__ 16 04 10 19 __ 29 08 
05 27 22 24 21 34 25 06 
00 30 26 31 17 02 15 12 
23 32 13 14 35 18 09 03 

__ 01 10 11 28 20 07 __ 
__ 16 04 33 19 __ 29 08 
05 27 22 24 21 34 25 06 
00 30 26 31 35 02 15 12 
23 32 13 14 17 18 09 03 

__ 10 01 20 28 11 07 __ 
__ 16 04 33 19 __ 29 08 
05 27 22 24 21 34 25 06 
32 30 26 31 35 02 15 09 
23 00 13 14 17 12 03 18 

__ 10 __ 11 28 20 07 __ 
__ 16 04 01 19 33 29 08 
05 27 22 24 21 34 25 06 
23 30 26 31 35 02 15 09 
32 00 13 14 17 12 03 18 

__ 10 __ 20 28 11 01 __ 
__ 16 04 33 19 07 29 08 
05 27 22 24 21 34 25 06 
32 30 26 31 35 02 15 18 
23 00 13 14 17 12 09 03 

__ 10 __ 20 28 11 07 __ 
__ 05 33 04 19 01 29 08 
16 27 22 24 21 34 25 06 
13 30 26 31 35 02 15 09 
23 32 00 14 17 18 12 03 

__ __ 10 11 28 20 08 __ 
__ 05 33 01 19 04 29 07 
16 27 22 24 21 34 25 06 
00 30 26 31 35 02 15 12 
32 23 13 14 17 18 09 03 

__ __ 10 11 28 20 08 __ 
__ 05 01 33 19 04 29 07 
16 27 22 24 21 34 25 06 
32 30 26 31 35 02 15 03 
23 00 13 14 17 12 09 18 

__ __ 01 11 28 20 08 __ 
__ 05 04 33 19 10 29 07 
16 27 22 24 21 34 25 06 
32 30 26 31 14 02 15 18 
23 00 13 17 35 12 09 03 

__ 01 __ 11 28 20 08 __ 
__ 05 04 10 19 33 29 07 
16 27 22 24 21 34 25 06 
32 30 26 31 35 02 15 03 
23 00 13 17 14 12 09 18 

__ 01 10 11 28 20 08 __ 
__ 05 __ 04 19 33 29 07 
16 27 22 24 21 34 25 06 
23 30 26 31 17 02 15 18 
00 32 13 14 35 12 03 09 

__ 01 __ 20 28 11 08 __ 
__ 16 10 04 19 33 29 07 
05 27 22 24 21 34 25 06 
13 30 26 31 35 02 15 12 
23 32 00 17 14 18 03 09 

__ 10 __ 11 28 20 08 __ 
__ 16 01 33 19 04 29 07 
05 27 22 24 21 34 25 06 
32 30 26 31 35 02 15 03 
23 00 13 17 14 18 12 09 

__ 10 01 11 28 20 08 __ 
__ 16 00 33 19 04 29 07 
05 27 22 24 21 34 25 06 
32 30 26 31 35 02 15 03 
__ 23 13 17 14 18 12 09 

__ 10 01 11 28 20 07 __ 
__ 16 00 33 19 04 29 08 
05 27 22 24 21 34 25 06 
32 30 26 31 14 02 15 03 
__ 23 13 17 35 12 18 09 

__ 10 01 11 28 20 07 __ 
__ 16 00 04 19 33 29 08 
05 27 22 24 21 34 25 06 
23 30 26 31 14 02 15 03 
__ 32 13 17 35 18 12 09 

__ 01 10 11 28 20 07 __ 
__ 05 00 04 19 33 29 08 
16 27 22 24 21 34 25 06 
32 30 26 31 14 02 15 09 
__ 23 13 17 35 18 12 03 

__ 01 10 11 28 20 07 __ 
__ 05 13 04 19 33 29 08 
16 27 22 24 21 34 25 06 
32 30 26 31 17 02 15 09 
__ 23 00 14 35 18 12 03 

__ 01 10 20 28 11 07 __ 
__ 05 00 33 19 04 29 08 
16 27 22 24 21 34 25 06 
32 30 26 31 35 02 15 09 
__ 23 13 14 17 18 12 03 

__ 10 01 20 28 11 08 __ 
__ 16 00 33 19 04 29 07 
05 27 22 24 21 34 25 06 
23 30 26 31 35 02 15 09 
__ 32 13 17 14 18 03 12 

__ 01 10 20 28 11 08 __ 
__ 05 13 04 19 33 29 07 
16 27 22 24 21 34 25 06 
23 30 26 31 14 02 15 12 
__ 32 00 17 35 18 03 09 

__ 10 01 20 28 11 08 __ 
__ 16 13 04 19 33 29 07 
05 27 22 24 21 34 25 06 
32 30 26 31 35 02 15 18 
__ 23 00 14 17 12 03 09 

__ 10 01 11 28 20 08 __ 
__ 16 13 04 19 33 29 07 
05 27 22 24 21 34 25 06 
32 30 26 31 35 02 15 03 
__ 23 00 14 17 12 18 09 

__ 10 01 11 28 20 08 __ 
__ 05 13 33 19 04 29 07 
16 27 22 24 21 34 25 06 
23 30 26 31 14 02 15 03 
__ 32 00 17 35 12 18 09 

__ 10 01 20 28 11 08 __ 
__ 05 13 04 19 33 29 07 
16 27 22 24 21 34 25 06 
32 30 26 31 17 02 15 12 
__ 23 00 14 35 18 09 03 

__ 10 01 20 28 11 08 __ 
__ 05 00 04 19 33 29 07 
16 27 22 24 21 34 25 06 
32 30 26 31 35 02 15 03 
__ 23 13 14 17 18 09 12 

__ 01 10 11 28 20 08 __ 
__ 05 13 33 19 04 29 07 
16 27 22 24 21 34 25 06 
32 30 26 31 17 02 15 03 
__ 23 00 14 35 18 12 09 

__ 10 01 20 28 11 08 __ 
__ 05 13 33 19 04 29 07 
16 27 22 24 21 34 25 06 
32 30 26 31 14 02 15 03 
__ 23 00 17 35 18 12 09 

__ 10 01 20 28 11 07 __ 
__ 05 00 33 19 04 29 08 
16 27 22 24 21 34 25 06 
32 30 26 31 14 02 15 03 
__ 23 13 17 35 18 12 09 

__ 10 01 20 28 11 07 __ 
__ 05 00 33 19 04 29 08 
16 27 22 24 21 34 25 06 
32 30 26 31 17 02 15 18 
__ 23 13 14 35 12 03 09 

__ 10 01 11 28 20 07 __ 
__ 16 13 33 19 04 29 08 
05 27 22 24 21 34 25 06 
23 30 26 31 14 02 15 03 
__ 32 00 17 35 12 18 09 

__ 10 01 11 28 20 08 __ 
__ 16 13 33 19 04 29 07 
05 27 22 24 21 34 25 06 
32 30 26 31 35 02 15 03 
__ 23 00 17 14 12 18 09 

__ 10 01 11 28 20 08 __ 
__ 16 00 33 19 04 29 07 
05 27 22 24 21 34 25 06 
32 30 26 31 35 02 15 12 
__ 23 13 17 14 18 03 09 

__ 01 10 20 28 11 07 __ 
__ 05 13 33 19 04 29 08 
16 27 22 24 21 34 25 06 
23 30 26 31 14 02 15 12 
__ 32 00 17 35 18 03 09 

__ 01 10 11 28 20 08 __ 
__ 05 00 33 19 04 29 07 
16 27 22 24 21 34 25 06 
23 30 26 31 14 02 15 12 
__ 32 13 17 35 18 03 09 

__ 10 01 11 28 20 08 __ 
__ 05 00 04 19 33 29 07 
16 27 22 24 21 34 25 06 
23 30 26 31 14 02 15 03 
__ 32 13 17 35 12 09 18 

__ 10 01 20 28 11 08 __ 
__ 16 00 33 19 04 29 07 
05 27 22 24 21 34 25 06 
32 30 26 31 14 02 15 03 
__ 23 13 17 35 12 18 09 

__ 10 01 20 28 11 07 __ 
__ 16 00 33 19 04 29 08 
05 27 22 24 21 34 25 06 
32 30 26 31 14 02 15 03 
__ 23 13 17 35 12 18 09 

__ 01 10 20 28 11 08 __ 
__ 05 13 33 19 04 29 07 
16 27 22 24 21 34 25 06 
32 30 26 31 17 02 15 18 
__ 23 00 14 35 12 03 09 

__ 01 10 20 28 11 08 __ 
__ 05 00 33 19 04 29 07 
16 27 22 24 21 34 25 06 
32 30 26 31 14 02 15 18 
__ 23 13 17 35 12 03 09 

__ 01 10 20 28 11 08 __ 
__ 05 00 33 19 04 29 07 
16 27 22 24 21 34 25 06 
23 30 26 31 17 02 15 09 
__ 32 13 14 35 12 03 18 

__ 01 10 20 28 11 07 __ 
__ 05 00 33 19 04 29 08 
16 27 22 24 21 34 25 06 
32 30 26 31 35 02 15 09 
__ 23 13 17 14 12 03 18 

__ 10 01 20 28 11 08 __ 
__ 05 13 04 19 33 29 07 
16 27 22 24 21 34 25 06 
32 30 26 31 35 02 15 18 
__ 23 00 17 14 12 03 09 

__ 10 01 20 28 11 07 __ 
__ 05 13 33 19 04 29 08 
16 27 22 24 21 34 25 06 
23 30 26 31 35 02 15 03 
__ 32 00 17 14 12 18 09 

__ 01 10 20 28 11 07 __ 
__ 05 00 33 19 04 29 08 
16 27 22 24 21 34 25 06 
32 30 26 31 17 02 15 03 
__ 23 13 14 35 12 18 09 

__ 01 10 20 28 11 08 __ 
__ 05 13 33 19 04 29 07 
16 27 22 24 21 34 25 06 
32 30 26 31 35 02 15 12 
__ 23 00 17 14 18 09 03 

__ 01 10 11 28 20 08 __ 
__ 05 13 04 19 33 29 07 
16 27 22 24 21 34 25 06 
32 30 26 31 35 02 15 12 
__ 23 00 14 17 18 09 03 

__ 01 10 11 28 20 08 __ 
__ 05 13 33 19 04 29 07 
16 27 22 24 21 34 25 06 
32 30 26 31 35 02 15 12 
__ 23 00 14 17 18 03 09 

__ 01 10 20 28 11 08 __ 
__ 16 13 33 19 04 29 07 
05 27 22 24 21 34 25 06 
23 30 26 31 14 02 15 09 
__ 32 00 17 35 18 12 03 

__ 01 10 20 28 11 08 __ 
__ 05 13 33 19 04 29 07 
16 27 22 24 21 34 25 06 
23 30 26 31 35 02 15 12 
__ 32 00 17 14 18 03 09 

__ 01 10 20 28 11 08 __ 
__ 05 00 33 19 04 29 07 
16 27 22 24 21 34 25 06 
32 30 26 31 17 02 15 09 
__ 23 13 14 35 18 12 03 

__ 01 10 20 28 11 08 __ 
__ 05 00 04 19 33 29 07 
16 27 22 24 21 34 25 06 
32 30 26 31 14 02 15 12 
__ 23 13 17 35 18 09 03 

__ 01 10 20 28 11 08 __ 
__ 16 00 04 19 33 29 07 
05 27 22 24 21 34 25 06 
32 30 26 31 14 02 15 03 
__ 23 13 17 35 12 09 18 

__ 10 01 11 28 20 07 __ 
__ 05 00 04 19 33 29 08 
16 27 22 24 21 34 25 06 
32 30 26 31 14 02 15 09 
__ 23 13 17 35 18 03 12 

__ 10 01 20 28 11 07 __ 
__ 05 00 33 19 04 29 08 
16 27 22 24 21 34 25 06 
23 30 26 31 14 02 15 09 
__ 32 13 17 35 18 12 03 

__ 10 01 20 28 11 07 __ 
__ 16 00 33 19 04 29 08 
05 27 22 24 21 34 25 06 
32 30 26 31 17 02 15 09 
__ 23 13 14 35 18 12 03 

__ 10 01 11 28 20 08 __ 
__ 16 00 33 19 04 29 07 
05 27 22 24 21 34 25 06 
32 30 26 31 17 02 15 12 
__ 23 13 14 35 18 03 09 

__ 10 01 20 28 11 08 __ 
__ 16 00 33 19 04 29 07 
05 27 22 24 21 34 25 06 
23 30 26 31 35 02 15 03 
__ 32 13 14 17 12 18 09 

__ 10 01 20 28 11 08 __ 
__ 05 00 33 19 04 29 07 
16 27 22 24 21 34 25 06 
23 30 26 31 17 02 15 09 
__ 32 13 14 35 12 18 03 

__ 10 01 20 28 11 08 __ 
__ 05 00 33 19 04 29 07 
16 27 22 24 21 34 25 06 
23 30 26 31 17 02 15 18 
__ 32 13 14 35 12 03 09 

__ 10 01 20 28 11 08 __ 
__ 16 13 33 19 04 29 07 
05 27 22 24 21 34 25 06 
23 30 26 31 17 02 15 03 
__ 32 00 14 35 12 09 18 

__ 10 01 20 28 11 07 __ 
__ 16 00 33 19 04 29 08 
05 27 22 24 21 34 25 06 
23 30 26 31 17 02 15 09 
__ 32 13 14 35 12 03 18 

__ 01 10 20 28 11 07 __ 
__ 05 13 33 19 04 29 08 
16 27 22 24 21 34 25 06 
23 30 26 31 17 02 15 03 
__ 32 00 14 35 18 09 12 

__ 01 10 20 28 11 08 __ 
__ 05 13 04 19 33 29 07 
16 27 22 24 21 34 25 06 
23 30 26 31 17 02 15 12 
__ 32 00 14 35 18 03 09 

__ 01 10 20 28 11 07 __ 
__ 05 00 33 19 04 29 08 
16 27 22 24 21 34 25 06 
32 30 26 31 17 02 15 12 
__ 23 13 14 35 18 03 09 

__ 10 01 11 28 20 07 __ 
__ 05 13 33 19 04 29 08 
16 27 22 24 21 34 25 06 
32 30 26 31 14 02 15 03 
__ 23 00 17 35 18 12 09 

__ 10 01 11 28 20 07 __ 
__ 16 00 33 19 04 29 08 
05 27 22 24 21 34 25 06 
32 30 26 31 35 02 15 03 
__ 23 13 14 17 18 12 09 

__ 10 01 11 28 20 07 __ 
__ 16 00 33 19 04 29 08 
05 27 22 24 21 34 25 06 
32 30 26 31 35 02 15 03 
__ 23 13 14 17 18 12 09 

__ 01 10 11 28 20 07 __ 
__ 05 13 33 19 04 29 08 
16 27 22 24 21 34 25 06 
23 30 26 31 35 02 15 09 
__ 32 00 14 17 18 03 12 

__ 10 01 11 28 20 07 __ 
__ 05 13 33 19 04 29 08 
16 27 22 24 21 34 25 06 
23 30 26 31 35 02 15 09 
__ 32 00 17 14 18 03 12 

__ 10 01 11 28 20 07 __ 
__ 16 13 33 19 04 29 08 
05 27 22 24 21 34 25 06 
32 30 26 31 35 02 15 09 
__ 23 00 17 14 18 03 12 

__ 01 10 11 28 20 07 __ 
__ 05 13 33 19 04 29 08 
16 27 22 24 21 34 25 06 
32 30 26 31 17 02 15 12 
__ 23 00 14 35 18 03 09 

__ 01 10 20 28 11 07 __ 
__ 05 00 33 19 04 29 08 
16 27 22 24 21 34 25 06 
23 30 26 31 35 02 15 03 
__ 32 13 14 17 18 09 12 

__ 10 01 20 28 11 07 __ 
__ 05 13 33 19 04 29 08 
16 27 22 24 21 34 25 06 
32 30 26 31 35 02 15 03 
__ 23 00 14 17 18 12 09 

__ 10 01 20 28 11 07 __ 
__ 05 13 33 19 04 29 08 
16 27 22 24 21 34 25 06 
32 30 26 31 35 02 15 03 
__ 23 00 14 17 12 18 09 

__ 10 01 11 28 20 07 __ 
__ 05 00 33 19 04 29 08 
16 27 22 24 21 34 25 06 
23 30 26 31 17 02 15 09 
__ 32 13 14 35 18 12 03 

__ 10 01 20 28 11 07 __ 
__ 05 00 04 19 33 29 08 
16 27 22 24 21 34 25 06 
23 30 26 31 35 02 15 09 
__ 32 13 14 17 18 12 03 

__ 10 01 20 28 11 07 __ 
__ 16 00 04 19 33 29 08 
05 27 22 24 21 34 25 06 
32 30 26 31 35 02 15 12 
__ 23 13 14 17 18 03 09 

__ 10 01 20 28 11 08 __ 
__ 16 13 04 19 33 29 07 
05 27 22 24 21 34 25 06 
32 30 26 31 35 02 15 03 
__ 23 00 14 17 18 09 12 

__ 10 01 20 28 11 08 __ 
__ 16 00 33 19 04 29 07 
05 27 22 24 21 34 25 06 
32 30 26 31 35 02 15 03 
__ 23 13 14 17 18 09 12 

__ 10 01 11 28 20 08 __ 
__ 16 00 33 19 04 29 07 
05 27 22 24 21 34 25 06 
32 30 26 31 35 02 15 03 
__ 23 13 14 17 12 18 09 

__ 10 01 11 28 20 08 __ 
__ 16 13 04 19 33 29 07 
05 27 22 24 21 34 25 06 
32 30 26 31 35 02 15 18 
__ 23 00 17 14 12 09 03 

__ 10 01 20 28 11 07 __ 
__ 05 13 33 19 04 29 08 
16 27 22 24 21 34 25 06 
32 30 26 31 14 02 15 18 
__ 23 00 17 35 12 09 03 

__ 10 01 20 28 11 08 __ 
__ 05 00 33 19 04 29 07 
16 27 22 24 21 34 25 06 
32 30 26 31 35 02 15 18 
__ 23 13 17 14 12 03 09 

__ 10 01 20 28 11 07 __ 
__ 05 00 33 19 04 29 08 
16 27 22 24 21 34 25 06 
32 30 26 31 14 02 15 12 
__ 23 13 17 35 18 03 09 

__ 10 01 20 28 11 07 __ 
__ 05 00 04 19 33 29 08 
16 27 22 24 21 34 25 06 
32 30 26 31 35 02 15 09 
__ 23 13 17 14 18 12 03 

__ 01 10 11 28 20 07 __ 
__ 16 00 04 19 33 29 08 
05 27 22 24 21 34 25 06 
23 30 26 31 14 02 15 09 
__ 32 13 17 35 12 18 03 

